julius,telepules,latitude,longitude
1,Sátoraljaújhely,48.40083406,21.65710322
2,Gönc,48.47384839,21.27584752
3,Bodrogkeresztúr,48.15938889,21.36183409
4,Tiszaújváros,47.9310120725796,21.0427445890994
6,Nyírlugos,47.69300378064893,22.03875660951805
7,Csengersima,47.86467275959814,22.726506023150247
8,Milota,48.10402928874756,22.78357305650017
9,Vásárosnamény,48.11886444322682,22.33870031939691
10,Tokaj,48.112220239288824,21.414911707087107
11,Buják,47.90081250218005,19.514906867191193
